pdf	median
0.0003062972	2011072.423495
0.0003058260	2017607.061956
0.0003053563	2024151.760946
0.0003048879	2030706.520524
0.0003044210	2037271.340757
0.0003039556	2043846.221715
0.0003034915	2050431.163478
0.0003030289	2057026.166130
0.0003025677	2063631.229761
0.0003021078	2070246.354467
0.0003016494	2076871.540353
0.0003011923	2083506.787525
0.0003007366	2090152.096100
0.0003002823	2096807.466197
0.0002998294	2103472.897944
0.0002993778	2110148.391473
0.0002989276	2116833.946923
0.0002984787	2123529.564438
0.0002980311	2130235.244169
0.0002975849	2136950.986272
0.0002971400	2143676.790909
0.0002966965	2150412.658247
0.0002962542	2157158.588462
0.0002958132	2163914.581731
0.0002953736	2170680.638240
0.0002949353	2177456.758180
0.0002944982	2184242.941747
0.0002940624	2191039.189143
0.0002936279	2197845.500577
0.0002931947	2204661.876262
0.0002927628	2211488.316416
0.0002923321	2218324.821265
0.0002919026	2225171.391037
0.0002914744	2232028.025970
0.0002910475	2238894.726304
0.0002906218	2245771.492285
0.0002901973	2252658.324166
0.0002897741	2259555.222204
0.0002893520	2266462.186663
0.0002889312	2273379.217809
0.0002885116	2280306.315917
0.0002880933	2287243.481266
0.0002876761	2294190.714141
0.0002872601	2301148.014830
0.0002868453	2308115.383628
0.0002864316	2315092.820837
0.0002860192	2322080.326760
0.0002856079	2329077.901709
0.0002851978	2336085.545999
0.0002847889	2343103.259952
0.0002843811	2350131.043893
0.0002839744	2357168.898154
0.0002835690	2364216.823071
0.0002831646	2371274.818985
0.0002827614	2378342.886243
0.0002823593	2385421.025197
0.0002819584	2392509.236203
0.0002815586	2399607.519622
0.0002811599	2406715.875822
0.0002807623	2413834.305173
0.0002803658	2420962.808053
0.0002799704	2428101.384842
0.0002795762	2435250.035928
0.0002791830	2442408.761701
0.0002787909	2449577.562558
0.0002783999	2456756.438899
0.0002780099	2463945.391131
0.0002776211	2471144.419663
0.0002772333	2478353.524913
0.0002768465	2485572.707299
0.0002764609	2492801.967247
0.0002760763	2500041.305187
0.0002756927	2507290.721553
0.0002753102	2514550.216784
0.0002749288	2521819.791324
0.0002745483	2529099.445622
0.0002741689	2536389.180132
0.0002737906	2543688.995310
0.0002734132	2550998.891620
0.0002730369	2558318.869528
0.0002726616	2565648.929507
0.0002722873	2572989.072032
0.0002719141	2580339.297585
0.0002715418	2587699.606651
0.0002711705	2595069.999719
0.0002708002	2602450.477284
0.0002704310	2609841.039846
0.0002700627	2617241.687907
0.0002696953	2624652.421975
0.0002693290	2632073.242562
0.0002689636	2639504.150186
0.0002685993	2646945.145367
0.0002682358	2654396.228631
0.0002678734	2661857.400507
0.0002675119	2669328.661530
0.0002671513	2676810.012238
0.0002667917	2684301.453175
0.0002664331	2691802.984887
0.0002660754	2699314.607926
0.0002657186	2706836.322847
0.0002653628	2714368.130211
0.0002650079	2721910.030582
0.0002646539	2729462.024529
0.0002643009	2737024.112623
0.0002639488	2744596.295443
0.0002635976	2752178.573569
0.0002632473	2759770.947586
0.0002628979	2767373.418085
0.0002625494	2774985.985658
0.0002622018	2782608.650903
0.0002618551	2790241.414423
0.0002615094	2797884.276822
0.0002611645	2805537.238712
0.0002608205	2813200.300705
0.0002604773	2820873.463421
0.0002601351	2828556.727482
0.0002597937	2836250.093513
0.0002594532	2843953.562145
0.0002591136	2851667.134013
0.0002587749	2859390.809754
0.0002584370	2867124.590010
0.0002580999	2874868.475428
0.0002577638	2882622.466658
0.0002574285	2890386.564354
0.0002570940	2898160.769173
0.0002567604	2905945.081779
0.0002564276	2913739.502835
0.0002560956	2921544.033013
0.0002557645	2929358.672985
0.0002554342	2937183.423429
0.0002551048	2945018.285025
0.0002547762	2952863.258460
0.0002544484	2960718.344421
0.0002541214	2968583.543602
0.0002537952	2976458.856698
0.0002534699	2984344.284410
0.0002531454	2992239.827442
0.0002528216	3000145.486502
0.0002524987	3008061.262300
0.0002521766	3015987.155552
0.0002518553	3023923.166977
0.0002515347	3031869.297297
0.0002512150	3039825.547239
0.0002508961	3047791.917532
0.0002505779	3055768.408909
0.0002502605	3063755.022109
0.0002499439	3071751.757872
0.0002496281	3079758.616942
0.0002493130	3087775.600068
0.0002489988	3095802.708000
0.0002486852	3103839.941495
0.0002483725	3111887.301311
0.0002480605	3119944.788211
0.0002477493	3128012.402960
0.0002474388	3136090.146328
0.0002471291	3144178.019087
0.0002468201	3152276.022016
0.0002465119	3160384.155892
0.0002462045	3168502.421501
0.0002458977	3176630.819629
0.0002455917	3184769.351066
0.0002452865	3192918.016607
0.0002449820	3201076.817048
0.0002446782	3209245.753191
0.0002443751	3217424.825840
0.0002440728	3225614.035803
0.0002437712	3233813.383890
0.0002434703	3242022.870917
0.0002431701	3250242.497701
0.0002428707	3258472.265062
0.0002425719	3266712.173827
0.0002422739	3274962.224822
0.0002419765	3283222.418880
0.0002416799	3291492.756834
0.0002413840	3299773.239523
0.0002410888	3308063.867788
0.0002407942	3316364.642473
0.0002405004	3324675.564427
0.0002402073	3332996.634499
0.0002399148	3341327.853546
0.0002396231	3349669.222424
0.0002393320	3358020.741995
0.0002390416	3366382.413122
0.0002387519	3374754.236672
0.0002384628	3383136.213518
0.0002381744	3391528.344531
0.0002378868	3399930.630589
0.0002375997	3408343.072573
0.0002373134	3416765.671366
0.0002370277	3425198.427853
0.0002367426	3433641.342926
0.0002364583	3442094.417476
0.0002361745	3450557.652400
0.0002358915	3459031.048596
0.0002356091	3467514.606968
0.0002353273	3476008.328419
0.0002350462	3484512.213860
0.0002347657	3493026.264200
0.0002344859	3501550.480356
0.0002342067	3510084.863244
0.0002339282	3518629.413785
0.0002336503	3527184.132903
0.0002333730	3535749.021524
0.0002330964	3544324.080580
0.0002328203	3552909.311002
0.0002325450	3561504.713727
0.0002322702	3570110.289693
0.0002319961	3578726.039842
0.0002317226	3587351.965120
0.0002314497	3595988.066474
0.0002311774	3604634.344855
0.0002309057	3613290.801217
0.0002306347	3621957.436516
0.0002303642	3630634.251713
